State/UT,2019,2020,2021,2022
Jammu and Kashmir,12396,12726,13060,13395
Ladakh,279,286,294,302
Himachal Pradesh,8589,8799,8978,9164
Punjab,37744,38636,39521,40435
Chandigarh,994,1024,1053,1088
Uttaranchal,11216,11482,11779,12065
Haryana,28453,29219,30015,30851
Delhi,24436,25178,25969,26735
Rajasthan,69156,70987,72825,74725
Uttar Pradesh,196652,201319,206088,210958
Bihar,101014,103711,106435,109274
Sikkim,443,445,465,496
Arunachal Pradesh,1015,1035,1064,1087
Nagaland,1719,1768,1805,1854
Manipur,1844,1899,2022,2097
Mizoram,1783,1837,1919,1985
Tripura,2507,2574,2623,2715
Meghalaya,2808,2879,2943,3025
Assam,36948,37880,38834,39787
West Bengal,105814,108394,110972,113581
Jharkhand,33045,33961,34910,35860
Orissa,49604,50692,51829,52960
Chhattisgarh,27113,27828,28529,29253
Madhya Pradesh,75911,77888,79871,81901
Gujarat,67841,69660,71507,73382
Daman,118,124,135,150
Dadra and Nagar Haveli,186,206,219,238
Maharashtra,113374,116121,118906,121717
Telangana,46464,47620,48775,49983
Andhra Pradesh,68883,70424,71970,73536
Karnataka,83824,85968,88126,90349
Goa,1591,1618,1652,1700
Lakshadweep,27,27,28,28
Kerala,56148,57155,58139,59143
Tamil Nadu,86596,88866,91184,93536
Pondicherry,1523,1577,1623,1679
Andaman and Nicobar Islands,357,366,380,393
